gan_env) teaching@dslab:~/pathon$ python train1.py 
Training on device: CUDA with Shared CPU Memory & AMP
Update: 113/130 | Steps: 6942720 | SPS: 8917 | Ret: 22.11 | Len: 79.5 | Goal: 13.0% | v_loss: 19.7570 | approx_kl: 0.0078
Update: 114/130 | Steps: 7004160 | SPS: 8918 | Ret: 31.58 | Len: 98.2 | Goal: 19.0% | v_loss: 21.1492 | approx_kl: 0.0050
Update: 115/130 | Steps: 7065600 | SPS: 8920 | Ret: 22.62 | Len: 98.0 | Goal: 16.0% | v_loss: 23.6211 | approx_kl: 0.0035
Update: 116/130 | Steps: 7127040 | SPS: 8921 | Ret: 26.50 | Len: 64.5 | Goal: 13.0% | v_loss: 21.4066 | approx_kl: 0.0053
Update: 117/130 | Steps: 7188480 | SPS: 8922 | Ret: 31.26 | Len: 81.4 | Goal: 22.0% | v_loss: 22.8118 | approx_kl: 0.0063
Update: 118/130 | Steps: 7249920 | SPS: 8923 | Ret: 37.31 | Len: 105.8 | Goal: 32.0% | v_loss: 23.9680 | approx_kl: 0.0016
Update: 119/130 | Steps: 7311360 | SPS: 8922 | Ret: 22.31 | Len: 60.1 | Goal: 16.0% | v_loss: 24.9416 | approx_kl: 0.0013
Update: 120/130 | Steps: 7372800 | SPS: 8925 | Ret: 21.24 | Len: 75.7 | Goal: 15.0% | v_loss: 23.9682 | approx_kl: 0.0027
Update: 121/130 | Steps: 7434240 | SPS: 8925 | Ret: 32.33 | Len: 98.0 | Goal: 17.0% | v_loss: 23.1041 | approx_kl: 0.0053
Update: 122/130 | Steps: 7495680 | SPS: 8926 | Ret: 22.51 | Len: 76.3 | Goal: 17.0% | v_loss: 23.9013 | approx_kl: 0.0011
Update: 123/130 | Steps: 7557120 | SPS: 8927 | Ret: 33.02 | Len: 130.3 | Goal: 26.0% | v_loss: 24.0855 | approx_kl: 0.0014
Update: 124/130 | Steps: 7618560 | SPS: 8928 | Ret: 27.70 | Len: 73.6 | Goal: 25.0% | v_loss: 27.9193 | approx_kl: 0.0027
Update: 125/130 | Steps: 7680000 | SPS: 8928 | Ret: 27.59 | Len: 65.2 | Goal: 21.0% | v_loss: 23.9246 | approx_kl: 0.0009
Update: 126/130 | Steps: 7741440 | SPS: 8928 | Ret: 34.18 | Len: 77.0 | Goal: 17.0% | v_loss: 24.2214 | approx_kl: 0.0004
Update: 127/130 | Steps: 7802880 | SPS: 8929 | Ret: 23.66 | Len: 81.9 | Goal: 11.0% | v_loss: 23.7698 | approx_kl: 0.0016
Update: 128/130 | Steps: 7864320 | SPS: 8929 | Ret: 31.94 | Len: 78.8 | Goal: 12.0% | v_loss: 25.6770 | approx_kl: 0.0014
Update: 129/130 | Steps: 7925760 | SPS: 8930 | Ret: 30.12 | Len: 66.9 | Goal: 17.0% | v_loss: 24.0136 | approx_kl: 0.0007
Update: 130/130 | Steps: 7987200 | SPS: 8931 | Ret: 19.09 | Len: 70.2 | Goal: 19.0% | v_loss: 25.8042 | approx_kl: 0.0033
Successfully exported parallel PyTorch model to ONNX.
(gan_env) teaching@dslab:~/pathon$ 
